Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
India,Australia,Australia,4 wickets,Mohali,"Oct 19, 2013",ODI # 3421
India,Australia,no result,,Ranchi,"Oct 23, 2013",ODI # 3422
India,Australia,India,6 wickets,Nagpur,"Oct 30, 2013",ODI # 3424
India,Australia,India,57 runs,Bengaluru,"Nov 2, 2013",ODI # 3428
Australia,England,Australia,6 wickets,Melbourne,"Jan 12, 2014",ODI # 3454
Australia,England,Australia,1 wicket,Brisbane,"Jan 17, 2014",ODI # 3455
Australia,England,Australia,7 wickets,Sydney,"Jan 19, 2014",ODI # 3457
Australia,England,England,57 runs,Perth,"Jan 24, 2014",ODI # 3461
Australia,England,Australia,5 runs,Adelaide,"Jan 26, 2014",ODI # 3463
Zimbabwe,Australia,Australia,198 runs,Harare,"Aug 25, 2014",ODI # 3513
Australia,South Africa,South Africa,7 wickets,Harare,"Aug 27, 2014",ODI # 3516
Zimbabwe,Australia,Zimbabwe,3 wickets,Harare,"Aug 31, 2014",ODI # 3521
Australia,South Africa,Australia,62 runs,Harare,"Sep 2, 2014",ODI # 3522
Australia,South Africa,South Africa,6 wickets,Harare,"Sep 6, 2014",ODI # 3526
Australia,Pakistan,Australia,93 runs,Sharjah,"Oct 7, 2014",ODI # 3530
Australia,Pakistan,Australia,5 wickets,Dubai (DSC),"Oct 10, 2014",ODI # 3532
Australia,Pakistan,Australia,1 run,Abu Dhabi,"Oct 12, 2014",ODI # 3534
Australia,South Africa,Australia,32 runs,Perth,"Nov 14, 2014",ODI # 3545
Australia,South Africa,South Africa,3 wickets,Perth,"Nov 16, 2014",ODI # 3546
Australia,South Africa,Australia,73 runs,Canberra,"Nov 19, 2014",ODI # 3548
Australia,South Africa,Australia,3 wickets,Melbourne,"Nov 21, 2014",ODI # 3549
Australia,South Africa,Australia,2 wickets,Sydney,"Nov 23, 2014",ODI # 3551
Australia,England,Australia,3 wickets,Sydney,"Jan 16, 2015",ODI # 3578
Australia,India,Australia,4 wickets,Melbourne,"Jan 18, 2015",ODI # 3582
Australia,England,Australia,3 wickets,Hobart,"Jan 23, 2015",ODI # 3589
Australia,India,no result,,Sydney,"Jan 26, 2015",ODI # 3592
Australia,England,Australia,112 runs,Perth,"Feb 1, 2015",ODI # 3597
Australia,England,Australia,111 runs,Melbourne,"Feb 14, 2015",ODI # 3600
New Zealand,Australia,New Zealand,1 wicket,Auckland,"Feb 28, 2015",ODI # 3617
Australia,Afghanistan,Australia,275 runs,Perth,"Mar 4, 2015",ODI # 3623
Australia,Sri Lanka,Australia,64 runs,Sydney,"Mar 8, 2015",ODI # 3629
Australia,Scotland,Australia,7 wickets,Hobart,"Mar 14, 2015",ODI # 3637
Australia,Pakistan,Australia,6 wickets,Adelaide,"Mar 20, 2015",ODI # 3642
Australia,India,Australia,95 runs,Sydney,"Mar 26, 2015",ODI # 3645
Australia,New Zealand,Australia,7 wickets,Melbourne,"Mar 29, 2015",ODI # 3646
Ireland,Australia,Australia,23 runs,Belfast,"Aug 27, 2015",ODI # 3679
England,Australia,Australia,59 runs,Southampton,"Sep 3, 2015",ODI # 3680
England,Australia,Australia,64 runs,Lord's,"Sep 5, 2015",ODI # 3681
England,Australia,England,93 runs,Manchester,"Sep 8, 2015",ODI # 3682
England,Australia,England,3 wickets,Leeds,"Sep 11, 2015",ODI # 3683
England,Australia,Australia,8 wickets,Manchester,"Sep 13, 2015",ODI # 3684
Australia,India,Australia,5 wickets,Perth,"Jan 12, 2016",ODI # 3723
Australia,India,Australia,7 wickets,Brisbane,"Jan 15, 2016",ODI # 3724
Australia,India,Australia,3 wickets,Melbourne,"Jan 17, 2016",ODI # 3725
Australia,India,Australia,25 runs,Canberra,"Jan 20, 2016",ODI # 3726
Australia,India,India,6 wickets,Sydney,"Jan 23, 2016",ODI # 3727
New Zealand,Australia,New Zealand,159 runs,Auckland,"Feb 3, 2016",ODI # 3731
New Zealand,Australia,Australia,4 wickets,Wellington,"Feb 6, 2016",ODI # 3733
New Zealand,Australia,New Zealand,55 runs,Hamilton,"Feb 8, 2016",ODI # 3735
West Indies,Australia,Australia,6 wickets,Providence,"Jun 5, 2016",ODI # 3740
Australia,South Africa,South Africa,47 runs,Providence,"Jun 7, 2016",ODI # 3741
Australia,South Africa,Australia,36 runs,Basseterre,"Jun 11, 2016",ODI # 3743
West Indies,Australia,West Indies,4 wickets,Basseterre,"Jun 13, 2016",ODI # 3745
Australia,South Africa,no result,,Bridgetown,"Jun 19, 2016",ODI # 3750
West Indies,Australia,Australia,6 wickets,Bridgetown,"Jun 21, 2016",ODI # 3752
West Indies,Australia,Australia,58 runs,Bridgetown,"Jun 26, 2016",ODI # 3756
Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),"Aug 21, 2016",ODI # 3768
Sri Lanka,Australia,Sri Lanka,82 runs,Colombo (RPS),"Aug 24, 2016",ODI # 3769
Sri Lanka,Australia,Australia,2 wickets,Dambulla,"Aug 28, 2016",ODI # 3772
Sri Lanka,Australia,Australia,6 wickets,Dambulla,"Aug 31, 2016",ODI # 3774
Sri Lanka,Australia,Australia,5 wickets,Pallekele,"Sep 4, 2016",ODI # 3776
Australia,Ireland,Australia,9 wickets,Benoni,"Sep 27, 2016",ODI # 3782
South Africa,Australia,South Africa,6 wickets,Centurion,"Sep 30, 2016",ODI # 3785
South Africa,Australia,South Africa,142 runs,Johannesburg,"Oct 2, 2016",ODI # 3787
South Africa,Australia,South Africa,4 wickets,Durban,"Oct 5, 2016",ODI # 3790
South Africa,Australia,South Africa,6 wickets,Port Elizabeth,"Oct 9, 2016",ODI # 3792
South Africa,Australia,South Africa,31 runs,Cape Town,"Oct 12, 2016",ODI # 3795
Australia,New Zealand,Australia,68 runs,Sydney,"Dec 4, 2016",ODI # 3811
Australia,New Zealand,Australia,116 runs,Canberra,"Dec 6, 2016",ODI # 3812
Australia,New Zealand,Australia,117 runs,Melbourne,"Dec 9, 2016",ODI # 3813
Australia,Pakistan,Australia,92 runs,Brisbane,"Jan 13, 2017",ODI # 3817
Australia,Pakistan,Pakistan,6 wickets,Melbourne,"Jan 15, 2017",ODI # 3818
Australia,Pakistan,Australia,7 wickets,Perth,"Jan 19, 2017",ODI # 3820
Australia,Pakistan,Australia,86 runs,Sydney,"Jan 22, 2017",ODI # 3822
Australia,Pakistan,Australia,57 runs,Adelaide,"Jan 26, 2017",ODI # 3826
New Zealand,Australia,New Zealand,6 runs,Auckland,"Jan 30, 2017",ODI # 3829
New Zealand,Australia,New Zealand,24 runs,Hamilton,"Feb 5, 2017",ODI # 3832
Australia,New Zealand,no result,,Birmingham,"Jun 2, 2017",ODI # 3876
Australia,Bangladesh,no result,,The Oval,"Jun 5, 2017",ODI # 3879
England,Australia,England,40 runs,Birmingham,"Jun 10, 2017",ODI # 3885
India,Australia,India,26 runs,Chennai,"Sep 17, 2017",ODI # 3910
India,Australia,India,50 runs,Kolkata,"Sep 21, 2017",ODI # 3912
India,Australia,India,5 wickets,Indore,"Sep 24, 2017",ODI # 3914
India,Australia,Australia,21 runs,Bengaluru,"Sep 28, 2017",ODI # 3917
India,Australia,India,7 wickets,Nagpur,"Oct 1, 2017",ODI # 3919
Australia,England,England,5 wickets,Melbourne,"Jan 14, 2018",ODI # 3951
Australia,England,England,4 wickets,Brisbane,"Jan 19, 2018",ODI # 3958
Australia,England,England,16 runs,Sydney,"Jan 21, 2018",ODI # 3960
Australia,England,Australia,3 wickets,Adelaide,"Jan 26, 2018",ODI # 3966
Australia,England,England,12 runs,Perth,"Jan 28, 2018",ODI # 3968
England,Australia,England,3 wickets,The Oval,"Jun 13, 2018",ODI # 4009
England,Australia,England,38 runs,Cardiff,"Jun 16, 2018",ODI # 4010
England,Australia,England,242 runs,Nottingham,"Jun 19, 2018",ODI # 4011
England,Australia,England,6 wickets,Chester-le-Street,"Jun 21, 2018",ODI # 4012
England,Australia,England,1 wicket,Manchester,"Jun 24, 2018",ODI # 4013
Australia,South Africa,South Africa,6 wickets,Perth,"Nov 4, 2018",ODI # 4065
Australia,South Africa,Australia,7 runs,Adelaide,"Nov 9, 2018",ODI # 4067
Australia,South Africa,South Africa,40 runs,Hobart,"Nov 11, 2018",ODI # 4069
Australia,India,Australia,34 runs,Sydney,"Jan 12, 2019",ODI # 4077
Australia,India,India,6 wickets,Adelaide,"Jan 15, 2019",ODI # 4078
Australia,India,India,7 wickets,Melbourne,"Jan 18, 2019",ODI # 4079
India,Australia,India,6 wickets,Hyderabad (Deccan),"Mar 2, 2019",ODI # 4102
India,Australia,India,8 runs,Nagpur,"Mar 5, 2019",ODI # 4106
India,Australia,Australia,32 runs,Ranchi,"Mar 8, 2019",ODI # 4109
India,Australia,Australia,4 wickets,Mohali,"Mar 10, 2019",ODI # 4111
India,Australia,Australia,35 runs,Delhi,"Mar 13, 2019",ODI # 4113
Australia,Pakistan,Australia,8 wickets,Sharjah,"Mar 22, 2019",ODI # 4116
Australia,Pakistan,Australia,8 wickets,Sharjah,"Mar 24, 2019",ODI # 4117
Australia,Pakistan,Australia,80 runs,Abu Dhabi,"Mar 27, 2019",ODI # 4118
Australia,Pakistan,Australia,6 runs,Dubai (DSC),"Mar 29, 2019",ODI # 4119
Australia,Pakistan,Australia,20 runs,Dubai (DSC),"Mar 31, 2019",ODI # 4120
Afghanistan,Australia,Australia,7 wickets,Bristol,"Jun 1, 2019",ODI # 4146
Australia,West Indies,Australia,15 runs,Nottingham,"Jun 6, 2019",ODI # 4152
Australia,India,India,36 runs,The Oval,"Jun 9, 2019",ODI # 4155
Australia,Pakistan,Australia,41 runs,Taunton,"Jun 12, 2019",ODI # 4157
Australia,Sri Lanka,Australia,87 runs,The Oval,"Jun 15, 2019",ODI # 4159
Australia,Bangladesh,Australia,48 runs,Nottingham,"Jun 20, 2019",ODI # 4166
England,Australia,Australia,64 runs,Lord's,"Jun 25, 2019",ODI # 4173
Australia,New Zealand,Australia,86 runs,Lord's,"Jun 29, 2019",ODI # 4178
Australia,South Africa,South Africa,10 runs,Manchester,"Jul 6, 2019",ODI # 4188
England,Australia,England,8 wickets,Birmingham,"Jul 11, 2019",ODI # 4191
India,Australia,Australia,10 wickets,Mumbai,"Jan 14, 2020",ODI # 4231
India,Australia,India,36 runs,Rajkot,"Jan 17, 2020",ODI # 4232
India,Australia,India,7 wickets,Bengaluru,"Jan 19, 2020",ODI # 4233
South Africa,Australia,South Africa,74 runs,Paarl,"Feb 29, 2020",ODI # 4248
South Africa,Australia,South Africa,6 wickets,Bloemfontein,"Mar 4, 2020",ODI # 4252
South Africa,Australia,South Africa,6 wickets,Potchefstroom,"Mar 7, 2020",ODI # 4254
Australia,New Zealand,Australia,71 runs,Sydney,"Mar 13, 2020",ODI # 4255
England,Australia,Australia,19 runs,Manchester,"Sep 11, 2020",ODI # 4259
England,Australia,England,24 runs,Manchester,"Sep 13, 2020",ODI # 4260
England,Australia,Australia,3 wickets,Manchester,"Sep 16, 2020",ODI # 4261
